mistake,correction
Wise,Wis
Hlow,How
Howv,How
llow,How
lHow,How
Johns. Ci,Johns. Ch
Johns. Cl,Johns. Ch
Johns. Cll,Johns. Ch
Johns. Cli,Johns. Ch
Jolns. Ch,Johns. Ch
Jolns. Cl,Johns. Ch
llarb,Barb
Wvis,Wis
Wi s,Wis
Wvisc,Wis
Wi sc,Wis
Wasl,Wash
Waslh,Wash
Wasli,Wash
Wasll,Wash
Vis,Wis
Utahl,Utah
Utall,Utah
Utali,Utah
UI. S.,U. S.
U. .,U. S.
Tcx,Tex
Cnm,Crim
Tcnn,Tenn
Dakl,Dak
Dalk,Dak
Pennl,Penn
Orcg,Or
Olio,Ohio
Ollio,Ohio
Onio,Ohio
Olhio,Ohio
Ohlio,Ohio
Nob,Neb
Neo,Neb
Ncb,Neb
App. Iv.,App. Div.
N. W. Rec.,N. W. Rep.
N. V.,N. W.
Mlex.,M
N. J. I.,N. J. L.
Eql.,Eq.
N. II.,N. H.
N. HI.,N. H.
N. I.,N. H.
N. iex.,N. M.
New iex.,N. M.
Dalc,Dak
N. .,N. Y.
N. .. L.,N. J. L.
N. .. I.,N. J. L.
N. . App.,N. Y. App.
Mlo,Mo
Mlin,Minn
Mlinn,Minn
Mlinnl,Minn
Mlicl,Mich
Mlich,Mich
Milch,Mich
Mlic,Mich
Mle,Me
Mlass,Mass
Miuin,Minn
Mliss,Miss
Mio,Mo
Minl,Minn
Miich,Mich
Miicl,Mich
Min,Minn
Mill,Mich
Miih,Mich
Miic,Mich
Mimn,Minn
Mie,Mich
Mld,Md
Miclh,Mich
Micl,Mich
Micli,Mich
Michl,Mich
Michi,Mich
Micd,Mich
Micdl,Mich
Maass,Mass
liarb,Barb
Intl.,Ind.
Inl,Ind
Indl,Ind
Intl. App.,Ind.
Inl. App.,Ind.
Indl. App.,Ind.
Ilil,Ill
Iled. Rep.,Fed. Rep.
IJ. S.,U. S.
Ij. .,U. S.
Ikan,Kan
Iky,Ky
III.,Ill.
Fell,Fed
Fedl,Fed
Rcp,Rep
tlep,Rep
tRep,Rep
lepl,Rep
Fed. Rel.,Fed. Rep.
ltep,Rep
Rcep,Rep
Fed. liep.,Fed. Rep.
Irep,Rep
Fed. Iep.,Fed. Rep.
Icep,Rep
Fed. ep.,Fed. Rep.
Fcd,Fed
Cushl,Cush
Cusl,Cush
Cuslh,Cush
Cusli,Cush
Cuslr,Cush
Cail,Cal
Blacks.,Blackf.
Busl,Bush
lisso.,Misso.
Cnl.,Cal.
lod.,Mod.
IlI.,Ill.
Hand.,Rand.
"Abb. Pr. N,. s.","Abb. Pr. N. S."
"Abb. Pr. a. a.","Abb. Pr. N. S."
