"year","n"
1822,1
1825,1
1841,1
1842,1
1843,1
1844,1
1846,3
1847,2
1848,6
1849,11
1850,9
1851,47
1852,65
1853,20
1854,17
1855,50
1856,55
1857,62
1858,55
1859,32
1860,55
1861,47
1862,5
1863,13
1864,18
1865,35
1866,62
1867,27
1868,64
1869,40
1870,23
1871,28
1872,97
1873,78
1874,73
1875,21
1876,51
1877,91
1878,32
1879,33
1880,71
1881,28
1882,79
1883,59
1884,44
1885,46
1886,17
1887,22
1888,49
1889,54
1890,17
1891,43
1892,39
1893,22
1894,11
1895,48
1896,22
1897,27
1898,8
1899,45
1900,20
1901,21
1902,13
1903,2
1904,7
1905,25
1906,15
1907,26
1908,4
1909,4
1910,2
1911,23
1913,57
1914,4
1915,8
1916,1
1917,14
1918,5
1920,2
1921,1
1922,4
1923,14
1924,5
