"case","year","n"
42587,1809,1
42739,1809,2
42587,1812,1
42739,1813,1
2573657,1814,1
42739,1817,1
2053443,1817,1
42739,1820,1
42739,1821,1
2053443,1821,1
2573657,1821,1
42739,1823,3
2036144,1823,1
2053443,1823,1
42587,1824,1
42739,1825,1
42739,1826,1
2036144,1826,4
2053443,1826,3
42587,1828,2
2036144,1828,1
2053443,1828,2
42587,1829,2
2036144,1830,2
2053443,1830,4
42587,1831,9
42739,1831,2
2005418,1831,1
2053443,1831,2
42587,1832,7
42739,1832,1
2005418,1832,2
2036144,1832,4
2053443,1832,3
42587,1833,14
42739,1833,2
42587,1834,11
42739,1834,3
2005418,1834,1
2036144,1834,2
2053443,1834,2
42587,1835,23
42739,1835,1
2036144,1835,1
42587,1836,12
42739,1836,3
2005418,1836,3
2036144,1836,3
2053443,1836,3
42587,1837,29
42739,1837,5
2036144,1837,1
2053443,1837,1
2573657,1837,1
42587,1838,15
2036144,1838,1
2573657,1838,2
42587,1839,23
42739,1839,3
2005418,1839,2
2036144,1839,5
2053443,1839,5
42587,1840,17
42739,1840,3
2036144,1840,1
2053443,1840,1
42587,1841,21
42739,1841,3
2005418,1841,6
2036144,1841,1
2573657,1841,1
42587,1842,30
42739,1842,6
2005418,1842,4
2036144,1842,4
2053443,1842,6
2065782,1842,1
42587,1843,18
42739,1843,3
2005418,1843,1
2036144,1843,5
2053443,1843,1
2573657,1843,1
42587,1844,33
42739,1844,5
2005418,1844,2
2036144,1844,5
2053443,1844,5
2065782,1844,1
6754779,1844,1
42587,1845,27
42739,1845,8
2005418,1845,1
2036144,1845,3
2573657,1845,1
42587,1846,18
42739,1846,6
2005418,1846,6
2036144,1846,6
2053443,1846,2
2065782,1846,1
6754779,1846,2
42587,1847,28
42739,1847,5
2005418,1847,4
2036144,1847,4
2053443,1847,4
2065782,1847,3
6754779,1847,1
42587,1848,21
42739,1848,1
2005418,1848,3
2036144,1848,4
2053443,1848,5
2065782,1848,2
2573657,1848,1
6754779,1848,3
42587,1849,24
42739,1849,7
2036144,1849,2
2053443,1849,1
2065782,1849,1
2573657,1849,1
42587,1850,14
42739,1850,4
2005418,1850,4
2036144,1850,3
2053443,1850,5
2065782,1850,2
6754779,1850,1
42587,1851,12
42739,1851,5
2005418,1851,1
2036144,1851,5
2053443,1851,6
2065782,1851,1
6754779,1851,3
42587,1852,8
42739,1852,5
2005418,1852,4
2036144,1852,4
2053443,1852,3
2065782,1852,1
6754779,1852,2
42587,1853,16
42739,1853,3
2005418,1853,8
2036144,1853,4
2053443,1853,5
2065782,1853,1
2573657,1853,2
42587,1854,15
